Block,Plot,Tree sp.,Tree Ref,Class,Order,Family,Genus,Species,Abundance,Juv,Comment,,,4055
D,34,Sitka,340042, Insecta,Hemiptera,Miridae,Plagiognathus, arbustorum,1,,,,,
D,35,Oak,350038,Insecta,Lepidoptera,Geometeridae,,,1,Yes,,,,
D,35,Oak,350038, Insecta,Hemiptera,Aphididae,,,11,,,,,
D,35,Birch,350026, Insecta,Hemiptera,Aphididae,,,35,,,,,
D,35,Birch,350026,Insecta,Coleoptera,,,,2,Yes,,,,
D,35,Alder,350054, Insecta,Hemiptera,Aphididae,,,35,,,,,
D,35,Alder,350054,Insecta,Lepidoptera,Geometeridae,,,1,Yes,,,,
D,36,Sitka,360048, Insecta,Hemiptera,Aphididae,,,54,,,,,
D,36,Sitka,360048,Insecta,Hemiptera,Aphrophoridae,,,5,Yes,,,,
D,36,Sitka,360048,Arachnida," 	Araneae",,,,4,Yes,,,,
D,36,Sitka,360048,Insecta,Coleoptera,,,,2,Yes,,,,
D,36,Sitka,360048,Insecta,Thysanoptera,,,,1,,No idea if juv. or adult,,,
D,36,Sitka,360048,Insecta,Diptera,,,,1,Yes,,,,
D,36,Sitka,360048,Insecta,Coleoptera,Cantharidae,Cantharis ,flavilabris,4,,,,,
D,36,Sitka,360048,Arachnida,Acari,,,sp_b,2,,Very small clear / white,,,
D,36,Sitka,360048,Insecta,Dermaptera,Forficulidae,Forficula, auricularia,1,,,,,
E,37,Oak,360012,Insecta,Hemiptera,Aphididae,,,15,,,,,
E,37,Birch,360045,Insecta,Hemiptera,Aphididae,,,42,,,,,
E,37,Alder,360071,Insecta,Hemiptera,Aphididae,,,32,,,,,
E,38,Oak,380056,Insecta,Hemiptera,Aphididae,,,58,,,,,
E,38,Oak,380056,Arachnida," 	Araneae",,,,1,Yes,,,,
E,38,Birch,380069,Insecta,Hemiptera,Aphididae,,,9,,,,,
E,38,Birch,380069,Insecta,Hemiptera,,,,1,Yes,,,,
E,38,Alder,380076,Insecta,Hemiptera,Aphididae,,,7,,,,,
E,39,Oak,390072,Insecta,Hemiptera,Aphididae,,,12,,,,,
E,39,Birch,390045,Insecta,Hemiptera,Aphididae,,,12,,,,,
E,39,Birch,390045,Arachnida,Acari,,,sp_b,2,,Very small clear / white,,,
E,39,Alder,390090,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,,,
E,40,Sitka,400075, Insecta,Hemiptera,Aphididae,,,9,,,,,
E,40,Sitka,400075,Collembola,Entomobryomorpha,,,sp_a,7,,,,,
E,40,Sitka,400075,Arachnida," 	Araneae",,,,4,Yes,,,,
E,40,Sitka,400075,Arachnida,Acari,,,sp_d,1,,Oribatida ,,,
E,40,Sitka,400075,Insecta,Coleoptera,Cantharidae,Rhagonycha ,fulva,2,,,,,
E,40,Sitka,400075,Insecta,Coleoptera,,,,2,Yes,,,,
E,40,Sitka,400075, Insecta,Hemiptera,Nabidae,,,2,Yes,,,,
E,40,Sitka,400075,Arachnida,Opiliones,Phalangiidae,Paroligolophus ,agrestis,2,,,,,
E,40,Sitka,400075, Insecta,Hemiptera,Miridae,Plagiognathus, arbustorum,1,,,,,
E,40,Sitka,400075,Insecta,Coleoptera,Chrysomelidae,Neocrepidodera, ferruginea,1,,,,,
E,42,Sitka,430008, Insecta,Hemiptera,Aphididae,,,15,,,,,
E,42,Sitka,430008,Collembola,Entomobryomorpha,,,sp_a,8,,,,,
E,42,Sitka,430008,Insecta,Diptera,,,,1,Yes,,,,
E,42,Sitka,430008,Arachnida,Acari,,,sp_b,1,,Very small clear / white,,,
E,42,Sitka,430008, Insecta,Hemiptera,Miridae,Leptopterna ,ferrugata,1,,Specimen in bad shape,,,
E,43,Oak,430067, Insecta,Hemiptera,Aphididae,,,6,,,,,
E,43,Oak,430067,Arachnida,Acari,,,sp_b,2,,Very small clear / white,,,
E,43,Birch,430065, Insecta,Hemiptera,Aphididae,,,8,,,,,
E,43,Birch,430065,Insecta,Coleoptera,Cantharidae,Cantharis ,flavilabris,1,,,,,
E,43,Alder,430055,Insecta,Hymenoptera,,,,1,,,,,
E,43,Alder,430055,Insecta,Coleoptera,,,,1,Yes,,,,
E,43,Alder,430055, Insecta,Hemiptera,Aphididae,,,5,,,,,
E,44,Sitka,440037,Collembola,Entomobryomorpha,,,sp_a,25,,,,,
E,44,Sitka,440037,Insecta,Hymenoptera,,,,1,,,,,
E,44,Sitka,440037,Arachnida," 	Araneae",,,,1,Yes,,,,
E,44,Sitka,440037,Arachnida,Acari,,,sp_b,1,,Very small clear / white,,,
E,44,Sitka,440037,Insecta,Coleoptera,,,,1,Yes,,,,
E,44,Sitka,440037, Insecta,Hemiptera,Aphididae,,,1,,,,,
E,44,Sitka,440037, Insecta,Hemiptera,,,,2,Yes,Heteroptera,,,
E,44,Sitka,440037,Arachnida,Opiliones,Phalangiidae,Paroligolophus ,agrestis,4,,,,,
E,44,Sitka,440037,Arachnida," 	Araneae",Theridiidae,Phylloneta,,1,Yes,,,,
E,44,Sitka,440037,Insecta,Coleoptera,Staphylinidae,Stenus,,1,,Female - could have been one of several,,,
E,45,Sitka,450062, Insecta,Hemiptera,Aphididae,,,8,,,,,
E,45,Sitka,450062,Arachnida,Opiliones,,,,2,Yes,,,,
E,45,Sitka,450062, Insecta,Hemiptera,Pentatomidae,Palomena ,prasina,1,Yes,,,,
E,45,Sitka,450062,Insecta,Coleoptera,,,,1,Yes,,,,
F,46,Oak,460074, Insecta,Hemiptera,Aphididae,,,7,,,,,
F,46,Birch,460035, Insecta,Hemiptera,Aphididae,,,34,,,,,
F,46,Birch,460035,Insecta,Hymenoptera,,,,3,,,,,
F,46,Birch,460035,Insecta,Diptera,,,,1,,,,,
F,46,Birch,460035,Insecta,Coleoptera,Coccinellidae,Calvia ,quatuordecimguttata,,,,,,
F,46,Alder,460054,Insecta,Hemiptera,Aphididae,,,9,,,,,
F,47,Oak,470050,Insecta,Hemiptera,Aphididae,,,3,,,,,
F,47,Oak,470050, Insecta,Hemiptera,Lygaeidae,,,1,Yes,,,,
F,47,Oak,470050,Arachnida," 	Araneae",,,,1,Yes,,,,
F,47,Oak,470050,Insecta,Dermaptera,Forficulidae,Forficula, auricularia,1,,,,,
F,47,Birch,470062,Insecta,Hemiptera,Aphididae,,,5,,,,,
F,47,Birch,470062,Arachnida," 	Araneae",,,,1,Yes,,,,
F,47,Birch,470062,Insecta,Hymenoptera,,,,1,,,,,
F,47,Alder,470038,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,,
F,49,Oak,490021,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,,
F,49,Birch,490037,Insecta,Hemiptera,Aphididae,,,5,,,,,
F,49,Birch,490037,Insecta,Coleoptera,,,,1,Yes,,,,
F,49,Birch,490037,Insecta,Coleoptera,Coccinellidae,Propylea ,quatuordecimpunctata,1,,,,,
F,49,Alder,490029,Insecta,Hemiptera,Aphididae,,,5,,,,,
F,50,Sitka,500031,Insecta,Hemiptera,Aphididae,,,5,,,,,
F,50,Sitka,500031,Insecta,Hemiptera,Miridae,Plagiognathus, arbustorum,1,,"Specimen in bad condition, not saved",,,
F,51,Sitka,510045,Insecta,Hemiptera,Aphididae,,,4,,,,,
F,52,Oak,520076,Insecta,Hemiptera,Aphididae,,,1,,,,,
F,52,Birch,520038,Insecta,Hemiptera,Aphididae,,,19,,,,,
F,52,Alder,520035,Insecta,Hemiptera,Aphididae,,,3,,,,,
F,53,Sitka,530082,Insecta,Hemiptera,Aphididae,,,23,,,,,
F,53,Sitka,530082,Insecta,Hemiptera,Nabidae,,,2,Yes,,,,
F,53,Sitka,530082, Insecta,Coleoptera,Apionidae,Perapion ,violaceum,2,,,,,
F,54,Sitka,540035,Insecta,Hemiptera,Aphididae,,,17,,,,,
F,54,Sitka,540035,Arachnida," 	Araneae",,,,1,Yes,,,,
G,55,Oak,550092,Insecta,Hemiptera,Aphididae,,,6,,,,,
G,55,Oak,550092,Collembola,Entomobryomorpha,,,,1,,,,,
G,55,Birch,550026,Arachnida," 	Araneae",,,,2,Yes,,,,
G,55,Birch,550026,Insecta,Hemiptera,Aphididae,,,6,,,,,
G,55,Alder,550036,Insecta,Coleoptera,Coccinellidae,Calvia ,quatuordecimguttata,1,,,,,
G,55,Alder,550036,Insecta,Hemiptera,Aphididae,,,2,,,,,
G,56,Sitka,560014,Insecta,Hemiptera,Aphididae,,,3,,,,,
G,56,Sitka,560014,Insecta,Hemiptera,Miridae,Plagiognathus, arbustorum,1,,,,,
G,56,Sitka,560014,Arachnida," 	Araneae",,,,2,Yes,,,,
G,56,Sitka,560014, Insecta,Coleoptera,,,,1,Yes,,,,
G,56,Sitka,560014,Collembola,Entomobryomorpha,,,sp_a,2,,,,,
G,56,Sitka,560014,Insecta,Hemiptera,Aphididae,,,1,,,,,
G,57,Oak,570029,Insecta,Hemiptera,Aphididae,,,17,,,,,
G,57,Oak,570029,Insecta,Hemiptera,,,,2,Yes,,,,
G,57,Oak,570029,Arachnida," 	Araneae",,,,1,Yes,,,,
G,57,Birch,570066,Insecta,Diptera,,,,1,,,,,
G,57,Birch,570066,Insecta,Hemiptera,Aphididae,,,25,,,,,
G,57,Alder,570063,Insecta,Hemiptera,Aphididae,,,3,,,,,
G,57,Alder,570063,Arachnida," 	Araneae",,,,1,Yes,,,,
G,58,Sitka,580099,Insecta,Hemiptera,Aphididae,,,3,,,,,
G,58,Sitka,580099,Insecta,Hemiptera,,,,2,Yes,,,,
G,58,Sitka,580099,Collembola,Entomobryomorpha,,,sp_a,2,,,,,
G,59,Oak,590003,Insecta,Hemiptera,,,,1,Yes,,,,
G,59,Oak,590003,Arachnida," 	Araneae",,,,1,Yes,,,,
G,59,Birch,no tag,empty,empty,empty,empty,empty,empty,empty,empty,,,
G,59,Alder,590001,Insecta,Coleoptera,Coccinellidae,Harmonia ,axyridis,1,,,,,
G,59,Alder,590001,Insecta,Coleoptera,Coccinellidae,Calvia ,quattuordecimguttata,1,,,,,
G,59,Alder,590001,Arachnida," 	Araneae",,,,1,Yes,,,,
G,59,Alder,590001,Insecta,Hymenoptera,,,,2,,,,,
G,59,Alder,590001,Insecta,Diptera,,,,1,,,,,
G,60,Oak,600059,Insecta,Coleoptera,Coccinellidae,Coccinella ,septempunctata, ,,,,,
G,60,Oak,600059,Arachnida," 	Araneae",,,,1,Yes,,,,
G,60,Oak,600059,Insecta,Hemiptera,Aphididae,,,3,,,,,
G,60,Oak,600059,Insecta,Hymenoptera,,,,1,,Chalcidoidae,,,
G,60,Oak,600059,Insecta,Dermaptera,Forficulidae,Forficula, auricularia,1,,,,,
G,60,Birch,600029,Insecta,Hemiptera,Aphididae,,,2,,,,,
G,60,Alder,600045,Insecta,Hemiptera,Aphididae,,,1,,,,,
G,61,Sitka,610016,Insecta,Hemiptera,Aphididae,,,5,,,,,
G,61,Sitka,610016,Arachnida,Opiliones,Phalangiidae,Paroligolophus ,agrestis,1,,,,,
G,61,Sitka,610016, Insecta,Coleoptera,Apionidae,Perapion ,curtirostre,2,,,,,
G,62,Sitka,620010,Collembola,Entomobryomorpha,,,sp_a,1,,,,,
G,62,Sitka,620010,Arachnida," 	Araneae",,,,4,Yes,,,,
G,62,Sitka,620010,Arachnida,Acari,,,sp_b,4,,Very small clear / white,,,
G,62,Sitka,620010,Insecta,Hemiptera,Miridae,Plagiognathus, arbustorum,2,,,,,
H,64,Sitka,620043,Insecta,Hemiptera,Aphididae,,,57,,,,,
H,65,Oak,650047,Insecta,Hymenoptera,,,,1,,,,,
H,65,Birch,650065,Insecta,Hemiptera,Aphididae,,,7,,,,,
H,65,Alder,650098,Insecta,Hemiptera,Aphididae,,,11,,,,,
H,65,Alder,650098,Insecta,Coleoptera,,,,1,,,,,
H,65,Alder,650098,Arachnida,Acari,,,sp_b,1,,Very small clear / white,,,
H,65,Alder,650098,Insecta,Hymenoptera,,,,1,,,,,
H,66,Oak,660099,Collembola,Symphypleona,,,sp_a,3,,,,,
H,66,Oak,660099,Insecta,Hemiptera,Aphididae,,,21,,,,,
H,66,Oak,660099,Insecta,Hymenoptera,,,,1,,,,,
H,66,Birch,660094,Insecta,Hemiptera,Aphididae,,,6,,,,,
H,66,Alder,660007,Insecta,Hemiptera,Aphididae,,,13,,,,,
H,66,Alder,660007,Insecta,Lepidoptera,,,,1,Yes,,,,
H,68,Sitka,680045,Arachnida," 	Araneae",,,,1,Yes,,,,
H,68,Sitka,680045,Insecta,Hemiptera,Aphididae,,,4,,,,,
H,68,Sitka,680045,Insecta,Dermaptera,Forficulidae,Forficula, auricularia,1,,,,,
H,69,Oak,690085,Insecta,Diptera,Scathophagidae,Scathophaga ,stercoraria,1,,,,,
H,69,Oak,690085,Insecta,Hemiptera,Aphididae,,,3,,,,,
H,69,Oak,690085,Insecta,Coleoptera,Cantharidae,Rhagonycha ,fulva,3,,,,,
H,69,Birch,690047,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,,
H,69,Alder,690086,Insecta,Hemiptera,Aphididae,,,1,,,,,
H,69,Alder,690086,Insecta,Diptera,,,,1,,,,,
H,69,Alder,690086,Insecta,Hymenoptera,,,,1,,,,,
H,69,Alder,690086,Insecta,Lepidoptera,,,,1,Yes,,,,
H,70,Sitka,700035,Insecta,Diptera,Opomyzidae,,,1,,,,,
H,71,Oak,710065,Arachnida," 	Araneae",,,,1,Yes,,,,
H,71,Birch,710075,Insecta,Hemiptera,Aphididae,,,21,,,,,
H,71,Alder,710025,Insecta,Hemiptera,Aphididae,,,16,,,,,
H,71,Alder,710025,Arachnida," 	Araneae",,,,1,Yes,,,,
H,71,Alder,710025,Insecta,Hymenoptera,,,,1,,,,,
H,71,Alder,710025,Insecta,Coleoptera,Cantharidae,Rhagonycha ,fulva,3,,,,,
H,72,Sitka,720051,Insecta,Hemiptera,,,,4,Yes,,,,
H,72,Sitka,720051,Insecta,Diptera,Anthomyzidae,,,1,,,,,
H,72,Sitka,720051,Arachnida," 	Araneae",,,,1,Yes,,,,
